水庫名稱,有效容量,統計時間,集水區,進水量,出水量,與昨日,水情時間,水位,有效蓄水量,蓄水量
石門水庫,"20,134.00",起:2017-06-03(0時),163.3,"5,561.91","2,196.90",4.13,2017-06-03(23時),244.9,"20,047.50",99.57%
,,迄:2017-06-04(0時),,,,,,,,
翡翠水庫,--,起:--,--,--,--,--,2017-06-03(23時),164.81,"28,866.18",86.04%
,,迄:--,,,,,,,,
寶山第二水庫,"3,147.18",起:2017-06-03(0時),126,26.37,21.59,0.03,2017-06-03(23時),149.77,"3,113.06",98.92%
,,迄:2017-06-04(0時),,,,,,,,
永和山水庫,"2,998.94",起:2017-06-03(0時),85,29.1,15.1,--,2017-06-03(23時),84.16,"2,853.59",95.15%
,,迄:2017-06-04(0時),,,,,,,,
明德水庫,"1,276.00",起:2017-06-03(0時),58.1,316.19,355.04,--,2017-06-03(7時),60.75,"1,238.61",97.07%
,,迄:2017-06-04(0時),,,,,,,,
鯉魚潭水庫,"11,497.53",起:2017-06-03(0時),95.55,347.33,338.5,--,2017-06-03(23時),300.17,"11,572.53",100%
,,迄:2017-06-04(0時),,,,,,,,
德基水庫,"15,000.00",起:2017-06-03(0時),61,"3,574.53","2,286.00",--,2017-06-03(19時),"1,405.69","14,134.39",94.23%
,,迄:2017-06-04(0時),,,,,,,,
石岡壩,132.88,起:2017-06-03(0時),223,"13,581.50","13,544.30",--,2017-06-03(23時),273.39,71.79,54.03%
,,迄:2017-06-04(0時),,,,,,,,
霧社水庫,"4,505.57",起:2017-06-03(0時),390,"6,069.00","6,069.00",--,2017-06-03(23時),"1,004.44","4,358.34",96.73%
,,迄:2017-06-04(0時),,,,,,,,
日月潭水庫,"12,928.67",起:2017-06-03(0時),377,0,"1,071.39",--,2017-06-03(7時),747.33,"11,997.52",92.80%
,,迄:2017-06-04(0時),,,,,,,,
集集攔河堰,514.57,起:2017-06-03(0時),370.7,"50,080.55","49,901.03",--,2017-06-03(23時),210.67,53,10.30%
,,迄:2017-06-04(0時),,,,,,,,
湖山水庫,"5,085.00",起:2017-06-03(0時),477,249.82,24.46,3.51,2017-06-03(23時),179.42,631.62,12.42%
,,迄:2017-06-04(0時),,,,,,,,
仁義潭水庫,"2,531.90",起:2017-06-03(0時),55,81.72,38.91,--,2017-06-03(7時),99.86,"1,413.84",55.84%
,,迄:2017-06-04(0時),,,,,,,,
白河水庫,691.03,起:2017-06-03(8時),124.1,165,0,--,2017-06-03(8時),104.5,112,16.21%
,,迄:2017-06-04(8時),,,,,,,,
烏山頭水庫,"7,828.00",起:2017-06-03(7時),78.6,180.1,49.1,--,2017-06-03(7時),52.48,"3,289.00",42.02%
,,迄:2017-06-04(7時),,,,,,,,
曾文水庫,"46,261.00",起:2017-06-03(0時),314.7,"18,151.20",36.2,--,2017-06-03(23時),218.01,"31,254.00",67.56%
,,迄:2017-06-04(0時),,,,,,,,
南化水庫,"9,499.86",起:2017-06-03(0時),210.9,"1,325.60",103.1,--,2017-06-03(7時),175.7,"7,430.43",78.22%
,,迄:2017-06-04(0時),,,,,,,,
阿公店水庫,"1,612.80",起:2017-06-03(0時),14,0,11.71,--,2017-06-03(23時),30.59,184.5,11.44%
,,迄:2017-06-04(0時),,,,,,,,
高屏溪攔河堰,--,起:2017-06-03(0時),264.45,"52,686.29","52,686.29",--,2017-06-03(23時),19.4,--,--
,,迄:2017-06-04(0時),,,,,,,,
牡丹水庫,"2,641.21",起:2017-06-03(0時),30.8,37.1,9.33,--,2017-06-03(23時),125.65,943.09,35.71%
,,迄:2017-06-04(0時),,,,,,,,
附註,一、本表所示為各水庫每日狀況,,,,,,,,,
,二、本表各項資料由各水庫管理單位在每日上午8時30分前輸入（星期六、日之資料則在星期一統一輸入）,,,,,,,,,
,三、集水區降雨量為前一日累積降雨量,,,,,,,,,
